row_id,source,report_date,status_id,water_source,water_tech,install_year,installer,fecal_coliform_value,fecal_coliform_presence,activity_id,clean_country_id,clean_country_name,clean_adm1,water_source_clean,water_source_category,water_tech_clean,_facility_type,management_clean,status_clean,count,updated,pay_clean,subjective_quality_clean,dataset_title
3163,"Ministry of Water and Environment, Uganda",2010-04-22T00:00:00.000,No,Protected spring,,1966,,,,010-00499,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
1628,"Ministry of Water and Environment, Uganda",2010-04-20T00:00:00.000,Yes,Rainwater Harvest Tank,,2005,,,,010-00459,UGA,Uganda,Northern,Rainwater Harvesting,Rainwater Harvesting,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
245,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,Yes,Deep borehole,,1997,,,,010-00398,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
5965,"Ministry of Water and Environment, Uganda",2010-04-22T00:00:00.000,Yes,Protected spring,,1998,,,,010-00542,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
3191,"Ministry of Water and Environment, Uganda",2010-04-21T00:00:00.000,No,Protected spring,,1952,,,,010-00501,UGA,Uganda,Northern,Protected Well,Well,,Improved,Other,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
1907,"Ministry of Water and Environment, Uganda",2010-04-21T00:00:00.000,No,Protected spring,,2003,,,,010-00465,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
299,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,Yes,Deep borehole,,2007,,,,010-00399,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
18,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,No,Deep borehole,,,,,,010-00379,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Other,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
1220,"Ministry of Water and Environment, Uganda",2014-05-08T00:00:00.000,Yes,Deep borehole,,2014,,,,010-02278,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
35,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,No,Rainwater Harvest Tank,,2002,,,,010-00380,UGA,Uganda,Northern,Rainwater Harvesting,Rainwater Harvesting,,Improved,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
149,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,No,Kiosk,,2007,,,,010-00390,UGA,Uganda,Northern,,,Kiosk,Improved,Private Operator/Delegated Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
